time,n_maps,n_reduces,n_shuffles
12.23700,10,0,128
12.24200,10,0,128
12.24300,9,0,128
12.25500,8,0,128
12.27600,7,0,128
12.28600,6,0,128
12.29500,5,0,128
12.30300,4,0,128
12.32700,3,0,128
12.37800,2,0,128
12.38300,1,0,128
331.20800,0,1,128
331.60000,0,2,127
376.75400,0,3,126
382.63400,0,4,125
399.78200,0,4,124
400.17300,0,3,124
423.05800,0,3,124
425.41500,0,3,123
453.88300,0,2,123
488.54700,0,2,123
520.88000,0,2,122
546.64700,0,2,122
549.54500,0,2,121
563.71700,0,2,121
565.84400,0,3,120
586.66500,0,4,119
607.64400,0,4,118
614.31200,0,4,118
620.61500,0,4,117
620.65400,0,4,117
622.52000,0,4,116
637.78800,0,4,116
639.18400,0,5,115
640.21400,0,6,114
646.52300,0,6,113
647.55300,0,6,113
650.08200,0,7,112
664.73400,0,7,111
682.30900,0,6,111
691.46000,0,5,111
695.06900,0,4,111
696.24800,0,3,111
725.41400,0,2,111
730.06600,0,2,111
730.07900,0,3,110
738.73200,0,3,109
738.98300,0,3,109
739.04300,0,4,108
760.61500,0,5,107
762.19800,0,6,106
762.39400,0,7,105
763.20000,0,8,104
765.30600,0,9,103
777.26300,0,10,102
783.43300,0,11,101
787.44400,0,11,100
788.00700,0,11,100
792.88200,0,11,99
793.03300,0,11,99
795.43300,0,11,98
800.81100,0,10,98
809.30000,0,9,98
817.99300,0,8,98
831.23600,0,7,98
834.60400,0,6,98
835.77500,0,5,98
836.99100,0,4,98
838.25600,0,3,98
840.47200,0,2,98
852.25000,0,1,98
857.40300,0,1,98
876.13800,0,2,97
876.80300,0,3,96
893.37700,0,4,95
906.70800,0,4,94
916.97200,0,3,94
922.26900,0,3,94
936.60100,0,3,93
942.49800,0,2,93
949.62500,0,2,93
960.59900,0,3,92
963.82900,0,4,91
964.15900,0,5,90
970.34900,0,6,89
973.13100,0,7,88
978.71500,0,8,87
982.77300,0,8,86
997.88200,0,8,86
998.13500,0,8,85
998.28500,0,7,85
1012.79000,0,7,85
1016.77800,0,8,84
1025.63600,0,9,83
1030.49600,0,9,82
1033.18800,0,8,82
1033.63000,0,8,82
1034.05500,0,9,81
1040.09900,0,9,80
1043.73500,0,8,80
1051.42900,0,8,80
1052.24200,0,9,79
1052.28100,0,10,78
1052.37800,0,10,77
1054.18600,0,10,77
1058.05400,0,10,76
1063.98500,0,9,76
1065.27800,0,9,76
1071.53300,0,10,75
1071.54300,0,10,74
1072.19700,0,10,74
1073.32300,0,10,73
1076.74900,0,9,73
1080.71800,0,9,73
1090.14500,0,10,72
1090.54900,0,10,71
1099.53200,0,9,71
1101.99500,0,9,71
1104.43100,0,9,70
1112.67300,0,8,70
1117.90500,0,7,70
1119.89200,0,6,70
1119.92500,0,5,70
1119.93300,0,5,70
1121.79500,0,5,69
1126.22500,0,5,69
1145.53200,0,5,68
1147.84800,0,5,68
1151.03300,0,5,67
1162.28200,0,5,67
1190.60900,0,6,66
1194.90300,0,6,65
1197.28600,0,5,65
1204.58300,0,4,65
1215.64500,0,4,65
1216.71200,0,4,64
1221.56700,0,3,64
1227.37900,0,2,64
1236.00900,0,2,64
1255.87200,0,2,63
1256.72200,0,2,63
1276.05400,0,3,62
1304.01000,0,4,61
1319.72200,0,4,60
1328.05000,0,4,60
1328.84500,0,4,59
1337.36300,0,3,59
1342.99000,0,3,59
1352.24900,0,3,58
1379.69000,0,3,58
1381.60200,0,4,57
1383.75800,0,5,56
1399.29900,0,5,55
1402.36900,0,5,55
1410.59300,0,6,54
1436.58800,0,6,53
1440.81200,0,5,53
1441.03900,0,4,53
1443.25800,0,3,53
1450.95400,0,3,53
1451.08900,0,4,52
1456.38400,0,5,51
1462.86900,0,5,50
1483.04800,0,4,50
1485.49900,0,4,50
1486.47200,0,5,49
1486.47800,0,6,48
1486.94300,0,6,47
1487.08000,0,6,47
1505.07900,0,6,46
1507.04300,0,6,46
1513.72600,0,7,45
1536.15400,0,7,44
1536.90100,0,6,44
1540.91900,0,5,44
1551.33500,0,5,44
1551.82600,0,5,43
1552.04300,0,5,43
1565.20000,0,6,42
1574.14800,0,6,41
1581.19500,0,6,41
1587.30300,0,6,40
1589.19800,0,6,40
1589.75100,0,6,39
1591.93400,0,6,39
1602.66300,0,6,38
1613.23100,0,5,38
1637.00100,0,4,38
1638.15000,0,3,38
1640.91700,0,2,38
1641.09200,0,1,38
1647.15200,0,1,38
1662.64300,0,2,37
1694.59000,0,2,36
1698.66200,0,2,36
1703.65000,0,3,35
1704.76800,0,4,34
1711.94800,0,4,33
1715.34400,0,4,33
1721.58100,0,5,32
1743.81800,0,5,31
1747.99000,0,4,31
1762.39900,0,4,31
1765.02300,0,4,30
1769.28100,0,4,30
1775.84900,0,4,29
1781.91200,0,4,29
1794.17100,0,4,28
1809.69800,0,3,28
1811.30800,0,3,28
1815.90700,0,4,27
1834.32600,0,5,26
1847.17900,0,6,25
1848.85700,0,6,24
1868.67300,0,5,24
1871.89300,0,4,24
1872.68800,0,4,24
1874.48800,0,4,23
1876.07800,0,3,23
1895.21400,0,3,23
1907.98900,0,3,22
1924.90400,0,3,22
1927.45300,0,3,21
1940.07800,0,3,21
1946.32600,0,3,20
1955.25800,0,2,20
1963.52000,0,2,20
1975.23500,0,3,19
1996.57200,0,3,18
2000.62300,0,3,18
2016.19000,0,4,17
2033.88700,0,4,16
2037.79000,0,4,16
2042.88500,0,4,15
2052.77300,0,3,15
2056.47900,0,3,15
2068.81700,0,3,14
2073.90200,0,3,14
2084.47800,0,3,13
2093.59000,0,3,13
2096.27600,0,3,12
2112.83600,0,3,12
2121.63000,0,3,11
2131.42300,0,3,11
2150.86300,0,4,10
2158.40500,0,4,9
2173.72400,0,3,9
2175.48100,0,3,9
2197.46800,0,4,8
2221.94100,0,5,7
2226.71400,0,5,6
2235.51300,0,4,6
2244.16000,0,3,6
2245.41000,0,3,6
2267.87900,0,4,5
2271.18700,0,4,4
2276.37100,0,3,4
2282.17900,0,2,4
2289.82700,0,2,4
2308.10600,0,2,3
2322.77700,0,2,3
2337.22900,0,3,2
2337.23100,0,4,1
2382.66300,0,4,0
2385.46700,0,3,0
2385.77800,0,2,0
2398.54000,0,1,0
